Entity,Year,Birth
Africa,1950,11071722
Africa,1951,11178006
Africa,1952,11395504
Africa,1953,11622833
Africa,1954,11859989
Africa,1955,12106913
Africa,1956,12363371
Africa,1957,12629137
Africa,1958,12903730
Africa,1959,13186256
Africa,1960,13475804
Africa,1961,13771572
Africa,1962,14073037
Africa,1963,14380417
Africa,1964,14694778
Africa,1965,15017982
Africa,1966,15352317
Africa,1967,15700057
Africa,1968,16063044
Africa,1969,16442352
Africa,1970,16838639
Africa,1971,17251829
Africa,1972,17680404
Africa,1973,18122823
Africa,1974,18578186
Africa,1975,19047071
Africa,1976,19530726
Africa,1977,20028466
Africa,1978,20537966
Africa,1979,21055689
Africa,1980,21577805
Africa,1981,22100564
Africa,1982,22620021
Africa,1983,23132009
Africa,1984,23632701
Africa,1985,24116545
Africa,1986,24578735
Africa,1987,25020298
Africa,1988,25444702
Africa,1989,25856201
Africa,1990,26261001
Africa,1991,26666384
Africa,1992,27080259
Africa,1993,27509789
Africa,1994,27960078
Africa,1995,28433617
Africa,1996,28929884
Africa,1997,29445473
Africa,1998,29978410
Africa,1999,30529779
Africa,2000,31102607
Africa,2001,31700493
Africa,2002,32324907
Africa,2003,32975431
Africa,2004,33650129
Africa,2005,34349630
Africa,2006,35074783
Africa,2007,35820198
Africa,2008,36576717
Africa,2009,37333673
Africa,2010,38075599
Africa,2011,38786704
Africa,2012,39458333
Africa,2013,40086101
Africa,2014,40669252
Africa,2015,41211869
Africa,2016,41723004
Africa,2017,42217795
Africa,2018,42709735
Africa,2019,43206498
Africa,2020,43713339
Asia,1950,62638002
Asia,1951,62344074
Asia,1952,61889208
Asia,1953,61700288
Asia,1954,61777312
Asia,1955,62119880
Asia,1956,62725139
Asia,1957,63582551
Asia,1958,64675488
Asia,1959,65978808
Asia,1960,67456423
Asia,1961,69062134
Asia,1962,70735980
Asia,1963,72408340
Asia,1964,74008401
Asia,1965,75467508
Asia,1966,76734707
Asia,1967,77794248
Asia,1968,78632255
Asia,1969,79226833
Asia,1970,79530734
Asia,1971,79502353
Asia,1972,79177464
Asia,1973,78629240
Asia,1974,77943276
Asia,1975,77242029
Asia,1976,76657262
Asia,1977,76293258
Asia,1978,76229680
Asia,1979,76513949
Asia,1980,77209496
Asia,1981,78350337
Asia,1982,79836712
Asia,1983,81524025
Asia,1984,83273926
Asia,1985,84867921
Asia,1986,86073524
Asia,1987,86759090
Asia,1988,86862979
Asia,1989,86386911
Asia,1990,85416647
Asia,1991,84113607
Asia,1992,82709983
Asia,1993,81401589
Asia,1994,80288420
Asia,1995,79424419
Asia,1996,78800988
Asia,1997,78328227
Asia,1998,77933658
Asia,1999,77604366
Asia,2000,77339143
Asia,2001,77144802
Asia,2002,77023909
Asia,2003,76968603
Asia,2004,76960034
Asia,2005,76972119
Asia,2006,76977359
Asia,2007,76954425
Asia,2008,76886853
Asia,2009,76764391
Asia,2010,76588549
Asia,2011,76371672
Asia,2012,76133107
Asia,2013,75885265
Asia,2014,75627611
Asia,2015,75349982
Asia,2016,75036507
Asia,2017,74674190
Asia,2018,74257348
Asia,2019,73789469
Asia,2020,73279366
Europe,1950,11837577
Europe,1951,11917330
Europe,1952,12062655
Europe,1953,12179621
Europe,1954,12268221
Europe,1955,12328273
Europe,1956,12359269
Europe,1957,12361197
Europe,1958,12333653
Europe,1959,12275522
Europe,1960,12186311
Europe,1961,12066495
Europe,1962,11918276
Europe,1963,11746633
