Entity,Year,Birth,Death
Africa,1950,11071722,6383318
Africa,1951,11178006,6386923
Africa,1952,11395504,6395612
Africa,1953,11622833,6407259
Africa,1954,11859989,6421859
Africa,1955,12106913,6439445
Africa,1956,12363371,6460064
Africa,1957,12629137,6483793
Africa,1958,12903730,6510761
Africa,1959,13186256,6541237
Africa,1960,13475804,6575482
Africa,1961,13771572,6613747
Africa,1962,14073037,6656203
Africa,1963,14380417,6702841
Africa,1964,14694778,6753409
Africa,1965,15017982,6807605
Africa,1966,15352317,6865052
Africa,1967,15700057,6925122
Africa,1968,16063044,6987165
Africa,1969,16442352,7050597
Africa,1970,16838639,7114732
Africa,1971,17251829,7178963
Africa,1972,17680404,7243271
Africa,1973,18122823,7307833
Africa,1974,18578186,7372853
Africa,1975,19047071,7438602
Africa,1976,19530726,7505426
Africa,1977,20028466,7574084
Africa,1978,20537966,7645440
Africa,1979,21055689,7720255
Africa,1980,21577805,7798004
Africa,1981,22100564,7877551
Africa,1982,22620021,7959226
Africa,1983,23132009,8044682
Africa,1984,23632701,8136681
Africa,1985,24116545,8240811
Africa,1986,24578735,8363469
Africa,1987,25020298,8507700
Africa,1988,25444702,8673890
Africa,1989,25856201,8860132
Africa,1990,26261001,9062492
Africa,1991,26666384,9275275
Africa,1992,27080259,9490621
Africa,1993,27509789,9701237
Africa,1994,27960078,9902184
Africa,1995,28433617,10092137
Africa,1996,28929884,10272740
Africa,1997,29445473,10445874
Africa,1998,29978410,10610578
Africa,1999,30529779,10762269
Africa,2000,31102607,10892824
Africa,2001,31700493,10993241
Africa,2002,32324907,11058408
Africa,2003,32975431,11086269
Africa,2004,33650129,11077650
Africa,2005,34349630,11034670
Africa,2006,35074783,10961721
Africa,2007,35820198,10868545
Africa,2008,36576717,10765610
Africa,2009,37333673,10661171
Africa,2010,38075599,10562294
Africa,2011,38786704,10473648
Africa,2012,39458333,10396996
Africa,2013,40086101,10334880
Africa,2014,40669252,10291513
Africa,2015,41211869,10271285
Africa,2016,41723004,10277131
Africa,2017,42217795,10307682
Africa,2018,42709735,10360610
Africa,2019,43206498,10434126
Asia,1950,62638002,33860238
Asia,1951,62344074,33688046
Asia,1952,61889208,33392388
Asia,1953,61700288,33194190
Asia,1954,61777312,33093446
Asia,1955,62119880,33086703
Asia,1956,62725139,33162077
Asia,1957,63582551,33303911
Asia,1958,64675488,33481760
Asia,1959,65978808,33642000
Asia,1960,67456423,33724311
Asia,1961,69062134,33668575
Asia,1962,70735980,33420962
Asia,1963,72408340,32956173
Asia,1964,74008401,32288187
Asia,1965,75467508,31470255
Asia,1966,76734707,30584696
Asia,1967,77794248,29728097
Asia,1968,78632255,28975947
Asia,1969,79226833,28362078
Asia,1970,79530734,27891093
Asia,1971,79502353,27536217
Asia,1972,79177464,27239699
Asia,1973,78629240,26957918
Asia,1974,77943276,26681655
Asia,1975,77242029,26413171
Asia,1976,76657262,26165597
Asia,1977,76293258,25960522
Asia,1978,76229680,25813308
Asia,1979,76513949,25726447
Asia,1980,77209496,25701392
Asia,1981,78350337,25735925
Asia,1982,79836712,25817886
Asia,1983,81524025,25933176
Asia,1984,83273926,26070414
Asia,1985,84867921,26216688
Asia,1986,86073524,26360552
Asia,1987,86759090,26495947
Asia,1988,86862979,26618332
Asia,1989,86386911,26723819
Asia,1990,85416647,26811853
Asia,1991,84113607,26885804
Asia,1992,82709983,26953970
Asia,1993,81401589,27023474
Asia,1994,80288420,27097280
Asia,1995,79424419,27176476
Asia,1996,78800988,27260416
Asia,1997,78328227,27347793
Asia,1998,77933658,27438657
Asia,1999,77604366,27535058
